token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
32,16,4,1,1,528,2672,528,32,496,1597.742,1597.742,0,
32,16,4,2,1,520,2680,520,32,496,1507.058,1507.058,0,
32,16,4,5,1,528,2672,528,32,496,3032.214,3032.214,0,
32,16,8,1,1,528,2672,528,32,496,1005.98,1005.98,0,
32,16,8,2,1,528,2672,528,32,496,1485.314,1485.314,0,
32,16,8,5,1,527,2673,527,32,496,3035.048,3035.048,0,
32,16,16,1,1,521,2679,521,32,496,978.446,978.446,0,
32,16,16,2,1,528,2672,528,32,496,1474.966,1474.966,0,
32,16,16,5,1,520,2680,520,32,496,2995.057,2995.057,0,
32,32,4,1,1,528,2672,528,32,496,1074.57,1074.57,0,
32,32,4,2,1,528,2672,528,32,496,1492.726,1492.726,0,
32,32,4,5,1,528,2672,528,32,496,3032.522,3032.522,0,
32,32,8,1,1,528,2672,528,32,496,1001.867,1001.867,0,
32,32,8,2,1,516,2684,516,32,496,1457.666,1457.666,0,
32,32,8,5,1,527,2673,527,32,496,3043.124,3043.124,0,
32,32,16,1,1,527,2673,527,32,496,972.989,972.989,0,
32,32,16,2,1,527,2673,527,32,496,1448.523,1448.523,0,
32,32,16,5,1,528,2672,528,32,496,3041.925,3041.925,0,
32,64,4,1,1,528,2672,528,32,496,1000.683,1000.683,0,
32,64,4,2,1,528,2672,528,32,496,1486.356,1486.356,0,
32,64,4,5,1,513,2687,513,32,496,2967.556,2967.556,0,
32,64,8,1,1,527,2673,527,32,496,987.524,987.524,0,
32,64,8,2,1,528,2672,528,32,496,1515.421,1515.421,0,
32,64,8,5,1,528,2672,528,32,496,3059.442,3059.442,0,
32,64,16,1,1,528,2672,528,32,496,1118.153,1118.153,0,
32,64,16,2,1,528,2672,528,32,496,1984.212,1984.212,0,
32,64,16,5,1,528,2672,528,32,496,3042.138,3042.138,0,
32,128,4,1,1,528,2672,528,32,496,972.078,972.078,0,
32,128,4,2,1,527,2673,527,32,496,1540.864,1540.864,0,
32,128,4,5,1,512,2688,512,32,496,3245.313,3245.313,0,
32,128,8,1,1,528,2672,528,32,496,12410.128,12410.128,0,
32,128,8,2,1,528,2672,528,32,496,1485.196,1485.196,0,
32,128,8,5,1,528,2672,528,32,496,3044.41,3044.41,0,
32,128,16,1,1,528,2672,528,32,496,1023.189,1023.189,0,
32,128,16,2,1,521,2679,521,32,496,1579.178,1579.178,0,
32,128,16,5,1,527,2673,527,32,496,3085.588,3085.588,0,
64,16,4,1,1,527,2673,527,64,496,1060.611,1060.611,0,
64,16,4,2,1,528,2672,528,64,496,1523.224,1523.224,0,
