token_cap,reserved_slots,refill,proc_delay,avg_success,avg_failures,avg_processed,avg_tokens_left,avg_max_q,avg_time_ms,avg_elapsed_ms
64,32,4,1,527.5,2672.5,527.5,64,496,979.8,979.8
64,32,4,2,523,2677,523,64,496,1435.67,1435.67
64,32,4,5,522,2678,522,64,496,3021.32,3021.32
64,32,8,1,526.5,2673.5,526.5,64,496,973.09,973.09
64,32,8,2,528,2672,528,64,496,1445.97,1445.97
64,32,8,5,520.5,2679.5,520.5,64,496,2996.83,2996.83
64,32,16,1,524,2676,524,64,496,965.4,965.4
64,32,16,2,522.5,2677.5,522.5,64,496,1438.23,1438.23
64,32,16,5,528,2672,528,64,496,3040.02,3040.02
64,64,4,1,521.5,2678.5,521.5,64,496,957.88,957.88
64,64,4,2,527,2673,527,64,496,1456.98,1456.98
64,64,4,5,528,2672,528,64,496,3030.52,3030.52
64,64,8,1,520.5,2679.5,520.5,64,496,989.78,989.78
64,64,8,2,524.5,2675.5,524.5,64,496,1473.81,1473.81
64,64,8,5,528,2672,528,64,496,3044.3,3044.3
64,64,16,1,527.5,2672.5,527.5,64,496,974.49,974.49
64,64,16,2,527.5,2672.5,527.5,64,496,1466.82,1466.82
64,64,16,5,528,2672,528,64,496,3038.84,3038.84
64,128,4,1,527.5,2672.5,527.5,64,496,975.39,975.39
64,128,4,2,528,2672,528,64,496,1470.93,1470.93
64,128,4,5,520.5,2679.5,520.5,64,496,2994.51,2994.51
64,128,8,1,528,2672,528,64,496,982.73,982.73
64,128,8,2,528,2672,528,64,496,1476.95,1476.95
64,128,8,5,521.5,2678.5,521.5,64,496,3009.16,3009.16
64,128,16,1,523.5,2676.5,523.5,64,496,973.9,973.9
64,128,16,2,526.5,2673.5,526.5,64,496,1462.19,1462.19
64,128,16,5,528,2672,528,64,496,3052.56,3052.56
128,32,4,1,527.5,2672.5,527.5,128,496,972.18,972.18
128,32,4,2,524,2676,524,128,496,1438.81,1438.81
128,32,4,5,527.5,2672.5,527.5,128,496,3028.77,3028.77
128,32,8,1,527.5,2672.5,527.5,128,496,980.27,980.27
128,32,8,2,520.5,2679.5,520.5,128,496,1436.05,1436.05
128,32,8,5,528,2672,528,128,496,3056.73,3056.73
128,32,16,1,528,2672,528,128,496,1000.93,1000.93
128,32,16,2,528,2672,528,128,496,1478.64,1478.64
128,32,16,5,528,2672,528,128,496,3049.25,3049.25
128,64,4,1,524.5,2675.5,524.5,128,496,969.57,969.57
128,64,4,2,528,2672,528,128,496,1501.88,1501.88
128,64,4,5,524.5,2675.5,524.5,128,496,3012.42,3012.42
128,64,8,1,524.5,2675.5,524.5,128,496,979.9,979.9
128,64,8,2,526,2674,526,128,496,1475.32,1475.32
128,64,8,5,528,2672,528,128,496,3055.98,3055.98
128,64,16,1,528,2672,528,128,496,985.77,985.77
128,64,16,2,528,2672,528,128,496,1470.89,1470.89
128,64,16,5,527,2673,527,128,496,3027.73,3027.73
128,128,4,1,523,2677,523,128,496,974.57,974.57
128,128,4,2,528,2672,528,128,496,1465.94,1465.94
128,128,4,5,527.5,2672.5,527.5,128,496,3031.19,3031.19
128,128,8,1,525.5,2674.5,525.5,128,496,992.9,992.9
128,128,8,2,528,2672,528,128,496,1466.64,1466.64
128,128,8,5,528,2672,528,128,496,3101.92,3101.92
128,128,16,1,528,2672,528,128,496,998.65,998.65
128,128,16,2,528,2672,528,128,496,1491.5,1491.5
128,128,16,5,528,2672,528,128,496,3051.22,3051.22
256,32,4,1,527.5,2672.5,527.5,140.5,496,1044.6,1044.6
256,32,4,2,528,2672,528,140,496,1527.58,1527.58
256,32,4,5,524,2676,524,142,496,3065.61,3065.61
256,32,8,1,528,2672,528,256,496,1002.04,1002.04
256,32,8,2,525.5,2674.5,525.5,256,496,1469.74,1469.74
256,32,8,5,528,2672,528,256,496,3035.37,3035.37
256,32,16,1,528,2672,528,256,496,1020.37,1020.37
256,32,16,2,527,2673,527,256,496,1505.88,1505.88
256,32,16,5,528,2672,528,256,496,3052.47,3052.47
256,64,4,1,528,2672,528,156,496,994.01,994.01
256,64,4,2,528,2672,528,156,496,1480.33,1480.33
256,64,4,5,527.5,2672.5,527.5,156.5,496,3051.46,3051.46
256,64,8,1,527,2673,527,256,496,1000.61,1000.61
256,64,8,2,527.5,2672.5,527.5,256,496,1491.91,1491.91
256,64,8,5,528,2672,528,256,496,3067.93,3067.93
256,64,16,1,527,2673,527,256,496,998.69,998.69
256,64,16,2,528,2672,528,256,496,1480.82,1480.82
256,64,16,5,523.5,2676.5,523.5,256,496,3033.14,3033.14
256,128,4,1,528,2672,528,188.5,496,1003.67,1003.67
256,128,4,2,528,2672,528,188.5,496,1498.93,1498.93
256,128,4,5,528,2672,528,188.5,496,3769.03,3769.03
256,128,8,1,528,2672,528,256,496,1016.51,1016.51
256,128,8,2,527.5,2672.5,527.5,256,496,1489.8,1489.8
256,128,8,5,527.5,2672.5,527.5,256,496,3053.7,3053.7
256,128,16,1,528,2672,528,256,496,1013.58,1013.58
256,128,16,2,528,2672,528,256,496,1589.35,1589.35
256,128,16,5,528,2672,528,256,496,3072.66,3072.66
