token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms
64,32,4,1,1,528,2672,528,64,496,984.13,984.13
64,32,4,1,2,527,2673,527,64,496,975.467,975.467
64,32,4,2,1,518,2682,518,64,496,1427.272,1427.272
64,32,4,2,2,528,2672,528,64,496,1444.07,1444.07
64,32,4,5,1,526,2674,526,64,496,3062.911,3062.911
64,32,4,5,2,518,2682,518,64,496,2979.728,2979.728
64,32,8,1,1,525,2675,525,64,496,968.322,968.322
64,32,8,1,2,528,2672,528,64,496,977.854,977.854
64,32,8,2,1,528,2672,528,64,496,1442.837,1442.837
64,32,8,2,2,528,2672,528,64,496,1449.112,1449.112
64,32,8,5,1,528,2672,528,64,496,3027.384,3027.384
64,32,8,5,2,513,2687,513,64,496,2966.272,2966.272
64,32,16,1,1,528,2672,528,64,496,973.884,973.884
64,32,16,1,2,520,2680,520,64,496,956.916,956.916
64,32,16,2,1,528,2672,528,64,496,1440.039,1440.039
64,32,16,2,2,517,2683,517,64,496,1436.417,1436.417
64,32,16,5,1,528,2672,528,64,496,3050.001,3050.001
64,32,16,5,2,528,2672,528,64,496,3030.039,3030.039
64,64,4,1,1,526,2674,526,64,496,967.605,967.605
64,64,4,1,2,517,2683,517,64,496,948.157,948.157
64,64,4,2,1,526,2674,526,64,496,1445.661,1445.661
64,64,4,2,2,528,2672,528,64,496,1468.306,1468.306
64,64,4,5,1,528,2672,528,64,496,3024.493,3024.493
64,64,4,5,2,528,2672,528,64,496,3036.539,3036.539
64,64,8,1,1,520,2680,520,64,496,982.268,982.268
64,64,8,1,2,521,2679,521,64,496,997.292,997.292
64,64,8,2,1,528,2672,528,64,496,1498.178,1498.178
64,64,8,2,2,521,2679,521,64,496,1449.439,1449.439
64,64,8,5,1,528,2672,528,64,496,3053.568,3053.568
64,64,8,5,2,528,2672,528,64,496,3035.022,3035.022
64,64,16,1,1,527,2673,527,64,496,973.666,973.666
64,64,16,1,2,528,2672,528,64,496,975.323,975.323
64,64,16,2,1,528,2672,528,64,496,1470.067,1470.067
64,64,16,2,2,527,2673,527,64,496,1463.58,1463.58
64,64,16,5,1,528,2672,528,64,496,3035.61,3035.61
64,64,16,5,2,528,2672,528,64,496,3042.079,3042.079
64,128,4,1,1,528,2672,528,64,496,974.074,974.074
64,128,4,1,2,527,2673,527,64,496,976.712,976.712
64,128,4,2,1,528,2672,528,64,496,1479.199,1479.199
64,128,4,2,2,528,2672,528,64,496,1462.668,1462.668
64,128,4,5,1,528,2672,528,64,496,3035.163,3035.163
64,128,4,5,2,513,2687,513,64,496,2953.86,2953.86
64,128,8,1,1,528,2672,528,64,496,995.649,995.649
64,128,8,1,2,528,2672,528,64,496,969.816,969.816
64,128,8,2,1,528,2672,528,64,496,1474.395,1474.395
64,128,8,2,2,528,2672,528,64,496,1479.497,1479.497
64,128,8,5,1,517,2683,517,64,496,2985.131,2985.131
64,128,8,5,2,526,2674,526,64,496,3033.181,3033.181
64,128,16,1,1,528,2672,528,64,496,979.872,979.872
64,128,16,1,2,519,2681,519,64,496,967.926,967.926
64,128,16,2,1,525,2675,525,64,496,1454.593,1454.593
64,128,16,2,2,528,2672,528,64,496,1469.779,1469.779
64,128,16,5,1,528,2672,528,64,496,3049.862,3049.862
64,128,16,5,2,528,2672,528,64,496,3055.268,3055.268
128,32,4,1,1,527,2673,527,128,496,970.064,970.064
128,32,4,1,2,528,2672,528,128,496,974.306,974.306
128,32,4,2,1,520,2680,520,128,496,1436.513,1436.513
128,32,4,2,2,528,2672,528,128,496,1441.109,1441.109
128,32,4,5,1,528,2672,528,128,496,3026.674,3026.674
128,32,4,5,2,527,2673,527,128,496,3030.866,3030.866
128,32,8,1,1,527,2673,527,128,496,977.994,977.994
128,32,8,1,2,528,2672,528,128,496,982.552,982.552
128,32,8,2,1,513,2687,513,128,496,1412.258,1412.258
128,32,8,2,2,528,2672,528,128,496,1459.844,1459.844
128,32,8,5,1,528,2672,528,128,496,3071.484,3071.484
128,32,8,5,2,528,2672,528,128,496,3041.97,3041.97
128,32,16,1,1,528,2672,528,128,496,1032.085,1032.085
128,32,16,1,2,528,2672,528,128,496,969.766,969.766
128,32,16,2,1,528,2672,528,128,496,1506.069,1506.069
128,32,16,2,2,528,2672,528,128,496,1451.201,1451.201
128,32,16,5,1,528,2672,528,128,496,3052.401,3052.401
128,32,16,5,2,528,2672,528,128,496,3046.102,3046.102
128,64,4,1,1,521,2679,521,128,496,964.723,964.723
128,64,4,1,2,528,2672,528,128,496,974.426,974.426
128,64,4,2,1,528,2672,528,128,496,1526.761,1526.761
128,64,4,2,2,528,2672,528,128,496,1476.998,1476.998
128,64,4,5,1,528,2672,528,128,496,3033.288,3033.288
128,64,4,5,2,521,2679,521,128,496,2991.557,2991.557
128,64,8,1,1,527,2673,527,128,496,976.217,976.217
128,64,8,1,2,522,2678,522,128,496,983.593,983.593
128,64,8,2,1,524,2676,524,128,496,1463.297,1463.297
128,64,8,2,2,528,2672,528,128,496,1487.334,1487.334
128,64,8,5,1,528,2672,528,128,496,3070.35,3070.35
128,64,8,5,2,528,2672,528,128,496,3041.61,3041.61
128,64,16,1,1,528,2672,528,128,496,981.884,981.884
128,64,16,1,2,528,2672,528,128,496,989.66,989.66
128,64,16,2,1,528,2672,528,128,496,1490.515,1490.515
128,64,16,2,2,528,2672,528,128,496,1451.271,1451.271
128,64,16,5,1,526,2674,526,128,496,3019.838,3019.838
128,64,16,5,2,528,2672,528,128,496,3035.622,3035.622
128,128,4,1,1,518,2682,518,128,496,973.768,973.768
128,128,4,1,2,528,2672,528,128,496,975.376,975.376
128,128,4,2,1,528,2672,528,128,496,1463.358,1463.358
128,128,4,2,2,528,2672,528,128,496,1468.524,1468.524
128,128,4,5,1,527,2673,527,128,496,3012.154,3012.154
128,128,4,5,2,528,2672,528,128,496,3050.224,3050.224
128,128,8,1,1,528,2672,528,128,496,1014.747,1014.747
128,128,8,1,2,523,2677,523,128,496,971.047,971.047
128,128,8,2,1,528,2672,528,128,496,1474.471,1474.471
128,128,8,2,2,528,2672,528,128,496,1458.807,1458.807
128,128,8,5,1,528,2672,528,128,496,3038.443,3038.443
128,128,8,5,2,528,2672,528,128,496,3165.399,3165.399
128,128,16,1,1,528,2672,528,128,496,1001.791,1001.791
128,128,16,1,2,528,2672,528,128,496,995.504,995.504
128,128,16,2,1,528,2672,528,128,496,1494.924,1494.924
128,128,16,2,2,528,2672,528,128,496,1488.073,1488.073
128,128,16,5,1,528,2672,528,128,496,3041.918,3041.918
128,128,16,5,2,528,2672,528,128,496,3060.521,3060.521
256,32,4,1,1,527,2673,527,141,496,1013.047,1013.047
256,32,4,1,2,528,2672,528,140,496,1076.154,1076.154
256,32,4,2,1,528,2672,528,141,496,1574.766,1574.766
256,32,4,2,2,528,2672,528,139,496,1480.384,1480.384
256,32,4,5,1,528,2672,528,140,496,3081.609,3081.609
256,32,4,5,2,520,2680,520,144,496,3049.609,3049.609
256,32,8,1,1,528,2672,528,256,496,995.578,995.578
256,32,8,1,2,528,2672,528,256,496,1008.501,1008.501
256,32,8,2,1,523,2677,523,256,496,1475.297,1475.297
256,32,8,2,2,528,2672,528,256,496,1464.19,1464.19
256,32,8,5,1,528,2672,528,256,496,3044.094,3044.094
256,32,8,5,2,528,2672,528,256,496,3026.645,3026.645
256,32,16,1,1,528,2672,528,256,496,1023.284,1023.284
256,32,16,1,2,528,2672,528,256,496,1017.449,1017.449
256,32,16,2,1,526,2674,526,256,496,1481.72,1481.72
256,32,16,2,2,528,2672,528,256,496,1530.048,1530.048
256,32,16,5,1,528,2672,528,256,496,3051.35,3051.35
256,32,16,5,2,528,2672,528,256,496,3053.587,3053.587
256,64,4,1,1,528,2672,528,156,496,996.105,996.105
256,64,4,1,2,528,2672,528,156,496,991.917,991.917
256,64,4,2,1,528,2672,528,156,496,1484.414,1484.414
256,64,4,2,2,528,2672,528,156,496,1476.242,1476.242
256,64,4,5,1,527,2673,527,156,496,3035.918,3035.918
256,64,4,5,2,528,2672,528,157,496,3067.012,3067.012
256,64,8,1,1,526,2674,526,256,496,997.319,997.319
256,64,8,1,2,528,2672,528,256,496,1003.908,1003.908
256,64,8,2,1,527,2673,527,256,496,1493.329,1493.329
256,64,8,2,2,528,2672,528,256,496,1490.488,1490.488
256,64,8,5,1,528,2672,528,256,496,3035.066,3035.066
256,64,8,5,2,528,2672,528,256,496,3100.801,3100.801
256,64,16,1,1,527,2673,527,256,496,993.15,993.15
256,64,16,1,2,527,2673,527,256,496,1004.229,1004.229
256,64,16,2,1,528,2672,528,256,496,1492.454,1492.454
256,64,16,2,2,528,2672,528,256,496,1469.195,1469.195
256,64,16,5,1,520,2680,520,256,496,3022.819,3022.819
256,64,16,5,2,527,2673,527,256,496,3043.453,3043.453
256,128,4,1,1,528,2672,528,188,496,998.75,998.75
256,128,4,1,2,528,2672,528,189,496,1008.593,1008.593
256,128,4,2,1,528,2672,528,189,496,1494.083,1494.083
256,128,4,2,2,528,2672,528,188,496,1503.782,1503.782
256,128,4,5,1,528,2672,528,188,496,3075.773,3075.773
256,128,4,5,2,528,2672,528,189,496,4462.284,4462.284
256,128,8,1,1,528,2672,528,256,496,1029.908,1029.908
256,128,8,1,2,528,2672,528,256,496,1003.108,1003.108
256,128,8,2,1,527,2673,527,256,496,1484.904,1484.904
256,128,8,2,2,528,2672,528,256,496,1494.696,1494.696
256,128,8,5,1,528,2672,528,256,496,3052.001,3052.001
256,128,8,5,2,527,2673,527,256,496,3055.391,3055.391
256,128,16,1,1,528,2672,528,256,496,1001.524,1001.524
256,128,16,1,2,528,2672,528,256,496,1025.627,1025.627
256,128,16,2,1,528,2672,528,256,496,1526.517,1526.517
256,128,16,2,2,528,2672,528,256,496,1652.174,1652.174
256,128,16,5,1,528,2672,528,256,496,3056.267,3056.267
256,128,16,5,2,528,2672,528,256,496,3089.057,3089.057
